id,number,street,city,state,postalCode,price
1,19,Judy,Miami,Florida,33169,$264253.26
2,46,Thompson,Columbus,Georgia,31914,$487127.66
3,1229,Columbus,Shawnee Mission,Kansas,66215,$232192.88
4,8455,Sauthoff,Corpus Christi,Texas,78465,$397077.49
5,57,Eliot,Glendale,Arizona,85311,$200531.22
6,57,Meadow Vale,El Paso,Texas,88553,$365455.18
7,711,Sachs,El Paso,Texas,88514,$157158.09
8,5189,Spohn,Louisville,Kentucky,40220,$385747.94
9,77,Merchant,Northridge,California,91328,$220917.80
10,078,Upham,Canton,Ohio,44720,$305360.09
11,0109,Roth,Dallas,Texas,75265,$411440.44
12,5,Duke,Birmingham,Alabama,35263,$450489.62
13,59,Center,Kansas City,Missouri,64101,$416070.16
14,07,Maryland,Northridge,California,91328,$355647.71
15,4,Trailsway,Grand Rapids,Michigan,49560,$210141.46
16,596,Ludington,Hicksville,New York,11854,$373154.03
17,1002,Redwing,El Paso,Texas,88589,$264229.09
18,4,Eastwood,Bridgeport,Connecticut,06606,$291158.17
19,1830,Boyd,Memphis,Tennessee,38131,$422554.89
20,052,Main,El Paso,Texas,88569,$229825.79
21,36538,Dwight,Los Angeles,California,90087,$135867.01
22,82,Homewood,Harrisburg,Pennsylvania,17126,$405127.08
23,8794,Waywood,Pensacola,Florida,32575,$252595.23
24,93,Mosinee,Irvine,California,92612,$481619.68
25,24,Daystar,Migrate,Kentucky,41905,$78772.75
26,5849,Pleasure,Macon,Georgia,31210,$428497.57
27,57807,Fremont,Dayton,Ohio,45419,$175421.11
28,987,Kinsman,Colorado Springs,Colorado,80945,$303407.83
29,42,Moulton,New York City,New York,10292,$451157.63
30,727,Tennessee,Torrance,California,90510,$201214.75
31,4,Bunting,Santa Ana,California,92705,$383498.18
32,16270,Sunbrook,Irving,Texas,75037,$170446.91
33,622,Monterey,Peoria,Illinois,61605,$482022.75
34,27,Main,Mobile,Alabama,36622,$125141.05
35,88088,Iowa,Columbus,Ohio,43284,$269577.33
36,49257,Shopko,Sioux Falls,South Dakota,57188,$84112.15
37,35,Dottie,Washington,District of Columbia,20067,$319537.09
38,4664,Springs,Fresno,California,93762,$176932.50
39,61358,Burrows,Merrifield,Virginia,22119,$421632.73
40,9,Little Fleur,San Diego,California,92153,$231225.85
41,4,Vermont,Worcester,Massachusetts,01605,$281465.40
42,39904,Cody,Fairbanks,Alaska,99709,$99629.19
43,0,Pankratz,Idaho Falls,Idaho,83405,$260553.21
44,2,Monterey,Las Vegas,Nevada,89178,$350145.86
45,88,Canary,Waterloo,Iowa,50706,$266564.09
46,2,Golf,Las Vegas,Nevada,89166,$195876.23
47,4,Maple Wood,Macon,Georgia,31210,$258676.65
48,10536,Sage,Honolulu,Hawaii,96840,$414702.91
49,93090,Service,Fort Lauderdale,Florida,33355,$268343.93
50,51,Ronald Regan,Greensboro,North Carolina,27415,$476689.67
51,3923,Westridge,Santa Ana,California,92725,$76247.01
52,53259,Little Fleur,Boston,Massachusetts,02283,$105248.96
53,7,Carioca,Arvada,Colorado,80005,$440770.88
54,24953,Corry,Boston,Massachusetts,02119,$481965.92
55,6035,Evergreen,Lancaster,California,93584,$413309.45
56,24665,Paget,San Diego,California,92145,$493231.12
57,75,Lakewood Gardens,Stockton,California,95205,$294676.35
58,71241,Parkside,El Paso,Texas,88569,$401308.36
59,4702,Parkside,San Francisco,California,94177,$267223.03
60,7,Crowley,Clearwater,Florida,34615,$121272.81
61,7277,Helena,Charlotte,North Carolina,28284,$309663.19
62,2738,Stone Corner,Kansas City,Kansas,66112,$329475.46
63,7108,Westport,Wilmington,North Carolina,28405,$499558.89
64,7237,Clove,Baton Rouge,Louisiana,70826,$312112.46
65,55699,Westend,Helena,Montana,59623,$259769.95
66,60918,Vidon,Bakersfield,California,93381,$234506.96
67,5,Vidon,Kansas City,Missouri,64160,$54409.26
68,14,Karstens,Roanoke,Virginia,24014,$498524.17
69,1,Sullivan,Santa Fe,New Mexico,87505,$177061.89
70,6,Carioca,Honolulu,Hawaii,96845,$345009.46
71,3131,Londonderry,Anderson,Indiana,46015,$113958.98
72,28,Sycamore,Kansas City,Missouri,64179,$467654.86
73,79,Artisan,Norfolk,Virginia,23509,$486997.26
74,30415,Washington,Oklahoma City,Oklahoma,73129,$410899.73
75,8211,Southridge,Chicago,Illinois,60652,$230198.25
76,55111,Dawn,Jacksonville,Florida,32209,$438143.84
77,663,Bashford,Tampa,Florida,33673,$108164.85
78,9182,Oxford,Abilene,Texas,79699,$202435.13
79,6954,Village,New Orleans,Louisiana,70129,$395595.56
80,19747,Packers,Salt Lake City,Utah,84152,$173900.21
81,4,Shasta,Brooksville,Florida,34605,$70889.92
82,065,Pond,Louisville,Kentucky,40215,$345066.10
83,1273,Eastwood,Fayetteville,North Carolina,28305,$485826.17
84,8508,Marquette,Cleveland,Ohio,44111,$428078.61
85,41,Mesta,Arvada,Colorado,80005,$69198.69
86,741,Drewry,New Hyde Park,New York,11044,$367853.68
87,5904,Mendota,Charlotte,North Carolina,28256,$393201.59
88,8222,Mockingbird,Santa Ana,California,92705,$462691.44
89,2,Blaine,Brooklyn,New York,11215,$88526.46
90,6878,Dennis,Midland,Michigan,48670,$115477.29
91,68,Cambridge,Raleigh,North Carolina,27690,$483747.05
92,8,Division,Washington,District of Columbia,20062,$250685.49
93,8012,Talisman,Whittier,California,90610,$215959.09
94,5052,Thierer,Pittsburgh,Pennsylvania,15240,$382832.58
95,19194,Luster,Tempe,Arizona,85284,$163572.75
96,398,Sycamore,Grand Rapids,Michigan,49560,$181466.04
97,90982,Jay,San Diego,California,92196,$240868.30
98,324,La Follette,Omaha,Nebraska,68179,$111243.60
99,8,Hansons,Garden Grove,California,92645,$342911.94
100,546,Bultman,Houston,Texas,77040,$336801.71
101,51160,Wayridge,Buffalo,New York,14276,$180561.24
102,28,Anzinger,Houston,Texas,77065,$87400.98
103,819,Lakewood,Pittsburgh,Pennsylvania,15274,$404403.66
104,667,Merchant,Jacksonville,Florida,32259,$495122.94
105,236,Manufacturers,Phoenix,Arizona,85035,$417863.88
106,3,Golden Leaf,West Palm Beach,Florida,33411,$390644.57
107,56673,Karstens,Trenton,New Jersey,08608,$94697.18
108,7753,Fisk,Tampa,Florida,33620,$95670.70
109,24266,Lyons,Birmingham,Alabama,35290,$332127.23
110,0363,Hoffman,Detroit,Michigan,48242,$110827.90
111,72,Stuart,Tulsa,Oklahoma,74156,$309496.11
112,69484,Springview,Seattle,Washington,98158,$84148.34
113,10,Jenna,Tacoma,Washington,98481,$87426.05
114,0740,Forest,Roanoke,Virginia,24024,$118073.47
115,48260,Gerald,Miami,Florida,33153,$98344.10
116,1,Oriole,North Little Rock,Arkansas,72199,$149598.87
117,8,Pepper Wood,Fairbanks,Alaska,99709,$65065.66
118,026,Rowland,Jackson,Mississippi,39282,$393932.41
119,48191,Macpherson,Corpus Christi,Texas,78465,$195685.38
120,5,Dexter,Amarillo,Texas,79105,$126236.42
121,14,Larry,Philadelphia,Pennsylvania,19184,$349149.46
122,35,Waxwing,Oakland,California,94627,$110696.50
123,6895,Waywood,Dallas,Texas,75397,$279529.88
124,70,Gale,Omaha,Nebraska,68110,$104661.31
125,1071,Leroy,Philadelphia,Pennsylvania,19131,$266208.16
126,451,Ryan,Beaufort,South Carolina,29905,$220986.09
127,46,Brickson Park,Rockford,Illinois,61105,$315133.90
128,107,Eastwood,Detroit,Michigan,48295,$58644.90
129,7,Darwin,Dallas,Texas,75358,$291137.13
130,6544,Wayridge,Oakland,California,94605,$270267.94
131,07,Monica,San Diego,California,92186,$114361.75
132,07268,Talmadge,Cedar Rapids,Iowa,52410,$243459.98
133,8,Barby,Houston,Texas,77299,$372881.39
134,908,Lerdahl,Raleigh,North Carolina,27690,$258938.92
135,6051,Hovde,Manchester,New Hampshire,03105,$61030.37
136,65,Artisan,Erie,Pennsylvania,16550,$473109.92
137,9,Colorado,Morgantown,West Virginia,26505,$466268.82
138,5261,Memorial,Columbus,Georgia,31998,$159006.09
139,52867,Union,Richmond,Virginia,23277,$117253.42
140,37,Lindbergh,Youngstown,Ohio,44511,$273023.20
141,7659,Blue Bill Park,Saint Louis,Missouri,63116,$488545.78
142,8742,Badeau,San Francisco,California,94169,$298023.24
143,90,Hazelcrest,Phoenix,Arizona,85040,$236590.53
144,867,Sheridan,Atlanta,Georgia,30380,$306368.69
145,8,Duke,Green Bay,Wisconsin,54313,$257231.41
146,39,Roth,Battle Creek,Michigan,49018,$364020.43
147,9466,Blue Bill Park,Sacramento,California,94230,$97001.90
148,5,Nobel,Saint Paul,Minnesota,55103,$477296.52
149,47,Lakeland,Winston Salem,North Carolina,27110,$90233.89
150,6,Haas,El Paso,Texas,79984,$53158.96
151,9660,Lyons,Cincinnati,Ohio,45233,$213173.90
152,89,Welch,Carol Stream,Illinois,60351,$237732.03
153,24,Lighthouse Bay,Salt Lake City,Utah,84105,$430187.28
154,60,Debra,North Hollywood,California,91616,$109511.41
155,3,Briar Crest,Philadelphia,Pennsylvania,19131,$303842.61
156,406,Parkside,Little Rock,Arkansas,72209,$487968.61
157,7518,Forest Dale,Springfield,Massachusetts,01152,$62358.76
158,01,Bultman,Baltimore,Maryland,21229,$228028.54
159,02,Warbler,Memphis,Tennessee,38131,$110363.55
160,288,Tennyson,Nashville,Tennessee,37240,$85492.74
161,7333,Shoshone,Brooklyn,New York,11236,$312212.44
162,3,American Ash,Boston,Massachusetts,02104,$290248.05
163,82,Di Loreto,Omaha,Nebraska,68117,$206515.02
164,4482,Alpine,Fort Worth,Texas,76198,$354339.68
165,3,John Wall,Tulsa,Oklahoma,74126,$124220.78
166,606,Eagan,Lake Charles,Louisiana,70616,$393531.50
167,42587,Doe Crossing,Inglewood,California,90310,$153738.15
168,53,Manley,Tuscaloosa,Alabama,35487,$328609.24
